time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
32,1.02755122525864,1.43092613340407,1.84485929153341,0.742434127053563,-0.637410788762576,2.46096815078469,-0.474571353224645,-1.22296732993454,-2.89512689179703,-0.124440899664416,0.712644899651433,-0.709158801896911
32.005,1.05548079582082,1.31347686339013,1.7673786469917,0.7360760153056,-0.677436413953193,2.340254356509,-0.32594319538297,-1.10633453369737,-2.70633840213269,-0.123696220616567,0.615203387125474,-0.731145103456189
32.01,1.08470333363389,1.19973925383575,1.70336286908911,0.729136434375293,-0.717528107367215,2.16786458988838,-0.177981706937478,-0.993170461661055,-2.51608328887598,-0.117589645281086,0.506842196929262,-0.774619785523493
32.015,1.1151483717001,1.08946711039696,1.65178679824433,0.721921432472749,-0.758276177235713,1.94477982305606,-0.0308446802093582,-0.883014523205359,-2.32449011445343,-0.106250432279852,0.388159054583747,-0.839216050500891
32.02,1.14646103473307,0.982273450817512,1.61116277731384,0.714611104303074,-0.800043798015552,1.6738873613505,0.115104044656823,-0.775340157616332,-2.13179449799561,-0.0899972259446892,0.260069415985369,-0.923452486700788
32.025,1.17801229264673,0.877646845528885,1.57956652530435,0.707252921890282,-0.842949816749296,1.35993323954155,0.259295690023942,-0.669577606433882,-1.93836563119952,-0.0693300272289399,0.123803829564198,-1.02473269849331
32.03,1.20892157560212,0.774971736302786,1.55468040580611,0.699761792184612,-0.886863103905088,1.00939829533096,0.400967871383964,-0.565136530747636,-1.74472357982402,-0.0449146226002651,-0.0191061814141368,-1.13939708699645
32.035,1.23809061048428,0.673552319729743,1.53385378594239,0.691926884284415,-0.931408357173543,0.630301577982576,0.539185440496955,-0.461427995117439,-1.5515463089375,-0.0175600625095064,-0.166853740600803,-1.26282589916727
32.04,1.26424694970247,0.572639405441081,1.51417941198412,0.683424858754147,-0.97598235349578,0.23193787035223,0.672869799720522,-0.357885378650806,-1.35966600949358,0.0118098074432217,-0.317392987223927,-1.38959030494831
32.045,1.28599536399187,0.471459482724073,1.49258397227528,0.673838741600031,-1.01977890407097,-0.175441189712124,0.80083537696403,-0.253983796720242,-1.17005496348194,0.0421894257214812,-0.46848474621997,-1.51364611991015
32.05,1.30187508040822,0.369245075001057,1.46593035275405,0.662681376448798,-1.06182037426278,-0.580990725786692,0.921831771928056,-0.149257627271483,-0.983801771887224,0.0725276520645652,-0.617749594209991,-1.62856296329755
32.055,1.31042074376681,0.265265349919427,1.43112852096003,0.64942220810524,-1.10099369745806,-0.973667649606663,1.03458998092923,-0.0433157425868999,-0.802079223673306,0.101765342289249,-0.762726274966634,-1.7277801268415
32.06,1.31022492456809,0.158855892015129,1.38525143564855,0.633516102974456,-1.13608931040581,-1.34264247504126,1.13787104559786,0.0641459381443127,-0.626105413136227,0.128872808286466,-0.900933583558263,-1.80487913947616
