time,pelvis_imu_accel_x,pelvis_imu_accel_y,pelvis_imu_accel_z,pelvis_imu_gyro_x,pelvis_imu_gyro_y,pelvis_imu_gyro_z,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z
39.595,-0.99159268302228,9.90517535961765,0.221693996515909,-1.50820448816803,3.7710609295084,-14.6542259559873,0.392900256400974,9.97843886811068,-2.14077646977875,-3.29596728570421,-7.10623585082714,27.2053005616155,-0.141690091200861,9.58627135042268,-1.85686337605915,-2.53443617417055,-7.41246982193915,-8.53223995973308,-1.00002668163531,9.76568277390875,0.507800689579191,5.75543049887775,-0.001916999059272,-1.57264110631917,0.374479637573604,10.0052992826394,1.09683168506005,4.26811768329678,0.159247810122494,20.6548405428393,-0.304208906590607,9.59888653188669,1.32625552112987,4.22380650668933,0.633054773005304,-5.02350684825868,-1.00712025917427,9.75588605827374,-0.283611132493054,3.31763936137411,-0.444978052666084,-0.222937850883426
39.6,-1.03747116078637,9.88991829283203,0.223393556439062,-1.38049422800035,4.50232055634891,-15.1757083498208,0.386073945795468,9.98118262688,-2.18337996752075,-3.57614300151117,-7.4000090590204,28.1505302047184,-0.16131759002274,9.59436223663458,-1.8756980846952,-2.75783641844088,-7.74273907585296,-8.72536732530026,-1.00228476605469,9.76992463846145,0.495545568636915,6.04142068553793,0.0493647513427004,-1.49442512717914,0.36596417511193,10.0063111081408,1.09342597444481,4.36634706002491,1.13387414830427,21.5562837556495,-0.321782875324159,9.60608460495017,1.32604488224998,4.20936473927733,1.62221851487758,-5.25773705150607,-1.00926981177935,9.75795899310158,-0.278861523749165,2.27474507120983,-0.255579047584085,-0.202582231881893
39.605,-1.08276125336291,9.87362981265339,0.225534431125843,-1.25339272200058,5.25945455262325,-15.6683986693737,0.383817013485273,9.98615226331655,-2.23093913498571,-3.85679265229929,-7.62963079210213,29.0987987091661,-0.177758735653761,9.60368774554597,-1.89759588381335,-2.98596704172107,-8.01108791476781,-8.90335476679713,-1.00345672389234,9.77468488549607,0.481862736550018,6.25214523501957,0.109424969504422,-1.41997073138002,0.35957480948569,10.0076098296749,1.09377032437767,4.462734619254,2.09859985199486,22.453307138101,-0.339127599593929,9.61370735368468,1.32653154369096,4.1894768253149,2.60167831695771,-5.47556259870985,-1.01151263719557,9.76032285357982,-0.273881194802806,1.23601752185979,-0.0688977569107911,-0.188901104774215
39.61,-1.12736323846793,9.85654168865068,0.228073344194771,-1.12704909492575,6.0408708816367,-16.1294529779342,0.386633915784616,9.99350933583122,-2.28304955923859,-4.13579745187753,-7.78365895902471,30.0530670154125,-0.190489427156915,9.61412960922667,-1.92233203026415,-3.21857595820623,-8.20603733094378,-9.06887057821844,-1.00344697007154,9.77991353987459,0.466873898679188,6.3734288055765,0.179691870913527,-1.3517726138676,0.355747325062364,10.0093782957778,1.09752123005123,4.55750869300467,3.0462285660911,23.3460576389528,-0.355747811232543,9.62155590437835,1.32734224729546,4.1650109308118,3.56428078121622,-5.67827819491038,-1.01375759063876,9.76295510137068,-0.268885587137297,0.208857780786509,0.112741139285721,-0.181571133862211
39.615,-1.17121429959604,9.83890201992843,0.230957170893509,-1.00170012740578,6.8445926692953,-16.5571322646138,0.394925639803378,10.0033527920861,-2.33913774001862,-4.4110477098907,-7.85157819041109,31.0170283914798,-0.199053582157702,9.62553651359108,-1.9495839555011,-3.45550380511504,-8.31702757889518,-9.22513108355309,-1.00217889611501,9.78553424745319,0.45076208302494,6.39228957781291,0.261664851138006,-1.29234822448891,0.354871607980355,10.0117914305009,1.1042908146883,4.65111128147415,3.97051396041703,24.2355231137392,-0.371144051323357,9.62941714618622,1.32810386594112,4.13701777121608,4.50385078644294,-5.86775430972765,-1.01590036787158,9.76581978316984,-0.264078073204671,-0.800617533452656,0.286868851339995,-0.180051917933806
39.62,-1.21428935211371,9.82096227499303,0.234124471916938,-0.877710134483176,7.66824507924941,-16.9509523454493,0.408974763121414,10.0157120906189,-2.39846498845729,-4.68048644571983,-7.82412569385807,31.9950751244252,-0.203079261806851,9.6377275849536,-1.9789363190028,-3.69668098023394,-8.33474740138604,-9.3758452527447,-0.999598993130228,9.79144666393248,0.433770571044482,6.29729432181231,0.35683668977661,-1.24420516642955,0.357281248050866,10.0150088702757,1.11365959635449,4.7442094581162,4.86629860516518,25.123568943158,-0.384826225802029,9.63706833647938,1.32845668535953,4.1067166888516,5.41533401972397,-6.04641211746695,-1.01782766913015,9.76886704079215,-0.259645382569406,-1.78767930706208,0.450945555469848,-0.183608975523797
39.625,-1.25660037966414,9.80296205729234,0.237506557397447,-0.7556071164544,8.50904852388749,-17.311794094795,0.428933584628724,10.030541259989,-2.46013625986402,-4.94215209227599,-7.69359907388085,32.9922401213474,-0.202293828949537,9.65049696492638,-2.00988833973238,-3.94211829490198,-8.25144540974764,-9.52514292110098,-0.995680591003881,9.79753006354252,0.41620036738075,6.0788814000095,0.466605003999232,-1.20980716792409,0.363244681743668,10.0191670026328,1.12518936086226,4.83770002412794,5.72962010918711,26.0129501804936,-0.396327960528266,9.64428171137374,1.32806712377789,4.0754746928417,6.29490614672099,-6.21718482103707,-1.01942237706749,9.77203276384141,-0.255753298776025,-2.7490334881041,0.602447168530406,-0.191344145309734
39.63,-1.29819432792898,9.78511304307603,0.241028301507711,-0.636112698374105,9.36381830477388,-17.6419658388347,0.454815399149314,10.0477142444738,-2.52311401644977,-5.1942194525935,-7.45413640294975,34.0141120717402,-0.196537756589337,9.66361921631633,-2.04186299559078,-4.1918918834009,-8.06121377965688,-9.6774874537369,-0.990427124738873,9.80364788663237,0.398406695773188,5.72964301713037,0.592176706419015,-1.19153796263925,0.372958001188046,10.024370843546,1.13843616934822,4.93270651969624,6.55778074469616,26.9072970675314,-0.405221264084796,9.65082901449067,1.32663981636248,4.04477866017063,7.14004464343763,-6.38346618479115,-1.02056952906558,9.77523851633133,-0.25254247232514,-3.68281233985152,0.738962601240729,-0.202232106585857
39.635,-1.33914955364241,9.76758384342665,0.244608973761081,-0.520163755049129,10.2289713760444,-17.9452139482549,0.486488870065005,10.0670219314802,-2.58623710946306,-5.43503835704453,-7.10195929958697,35.0667242446021,-0.185776685904188,9.67685528817341,-2.07421777783533,-4.44612349697603,-7.76023492431865,-9.83757425528791,-0.983874865502054,9.80965298454126,0.380794851069278,5.24455875227689,0.734469482419199,-1.1916623085918,0.38653950420785,10.0306862896635,1.15296360028109,5.03056788484276,7.34937750518462,27.8110729509666,-0.411130938369121,9.65648591438072,1.32392904220968,4.01620118519741,7.94956005291884,-6.54904745243665,-1.02116280508621,9.77839192832211,-0.250124212888043,-4.5885099574988,0.858297783032103,-0.215161437030321
39.64,-1.37957077088204,9.75048749171316,0.248163299965165,-0.408924086415485,11.1005414655028,-18.2266823494338,0.52367546064764,10.088171234006,-2.64824452219346,-5.66316968933275,-6.63557054384808,36.1564184693128,-0.170111305579292,9.68995879523082,-2.10625683257119,-4.70495764357697,-7.34698261521406,-10.0102170582024,-0.976095065518714,9.81539338624121,0.363815421445673,4.6211734812389,0.89401443402218,-1.21228334314992,0.404026061004944,10.0381333031353,1.16835626720228,5.13281828557085,8.10429033868949,28.7295049117892,-0.413748142273586,9.66103633009415,1.31974944591705,3.99136084244356,8.72358425240705,-6.71804416702637,-1.02111121031344,9.78138777495316,-0.248576136569249,-5.46686393424391,0.958582364328746,-0.228978382783749
