time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
32,0.0620597106659782,0.0801002080048859,0.0144804378802657,-0.166483148139055,-0.35659011721634,0.0833695998012481,0.00557506866763772,-0.0239117084201412,0.00524595191753014,-0.160296404856888,-0.36750898121302,0.0156417912933929
32.005,0.0616221108044159,0.0799435146077241,0.0144641980600401,-0.166509394724054,-0.356185172695642,0.0833288396037405,0.00582238119014698,-0.0232214204537894,0.00529393260910728,-0.160166209587044,-0.367448506831665,0.0157175914851093
32.01,0.0610574232376003,0.079701119168707,0.0144372114419095,-0.166555140837328,-0.355756159171906,0.0832561940905263,0.0060537917336428,-0.0225416222272504,0.0053443440337321,-0.16006626075829,-0.367439721006646,0.0157590951631076
32.015,0.0605160969309556,0.0793771644944264,0.0144049436991438,-0.166555613815025,-0.355311583808609,0.0831463415730426,0.00628175250467965,-0.021944572574936,0.00539247686876667,-0.159981207279633,-0.367480794109467,0.0157800378709004
32.02,0.0601496342479984,0.0790159538633742,0.0143755162357115,-0.166458964683689,-0.354871465306337,0.0830234974521848,0.00653852469604056,-0.0215083190220952,0.00543277902713435,-0.159877790752152,-0.367554337315045,0.0157917554451865
32.025,0.0600598508774591,0.0786666083535864,0.0143552003727527,-0.166234203062089,-0.354447360017872,0.0829165887497258,0.00685305647330212,-0.0212992931018785,0.00545988021250598,-0.159722263711556,-0.367633338609702,0.0157957015224738
32.03,0.0602552158320361,0.078370912143197,0.0143466608041003,-0.165891832364564,-0.354046535666106,0.0828472937250225,0.00723508455809231,-0.0213305940901825,0.00547165156559723,-0.159498941592291,-0.367694032702757,0.0158054560554582
32.035,0.0606505722122928,0.0781661830116211,0.0143494877536444,-0.165485975098033,-0.353676316165887,0.0828344566782573,0.00764796995604356,-0.0215895894835608,0.00546740487857835,-0.159226765795161,-0.367726382952322,0.0158180539703994
32.04,0.0611052944180634,0.0780618011086224,0.014359444991356,-0.165084555502227,-0.35332951434762,0.0828768302399209,0.00805222983118359,-0.0220455014879404,0.005447490288243,-0.158919485193467,-0.367702575718769,0.0158237066054558
32.045,0.0614531808904803,0.0780443489670404,0.0143705872013737,-0.164768525732434,-0.353008954747698,0.0829537736908957,0.00837892894820885,-0.0226379519032907,0.00541529160757541,-0.158625565637152,-0.367630016044801,0.0158258745348123
32.05,0.0615822640422127,0.078081117007558,0.0143765468812324,-0.164584800901471,-0.352707738970321,0.0830374182338043,0.00858614098286992,-0.0233254306165428,0.00537295056600132,-0.158372572441064,-0.367506384432166,0.0158174389614989
32.055,0.0614617356275137,0.0781297713131439,0.0143721610358095,-0.164540136914283,-0.352418690877444,0.0830985915098031,0.00864574639985576,-0.0240716503788903,0.00532272116194793,-0.158191916334444,-0.367353884402866,0.0157961554247826
32.06,0.0611485279809622,0.0781273626431957,0.0143529137393241,-0.164589687073641,-0.352122597186526,0.0830987896180513,0.00856315307171197,-0.0248382467926324,0.00526740334064476,-0.158101775587657,-0.367204291072022,0.0157722562616477
32.065,0.0607647827665009,0.0780582814696815,0.014320229785378,-0.164671784556604,-0.351815911254313,0.0830428180625115,0.0083674348777179,-0.0255974668916643,0.00520931119948291,-0.15810590046798,-0.367088518519311,0.01575243279651
32.07,0.0604480341073807,0.0779029511583899,0.0142759389173796,-0.164710232840048,-0.351484154286624,0.0829284210061648,0.00810270916878678,-0.0263238766335755,0.00515070574652019,-0.158193710570052,-0.367026446286917,0.0157455534761
32.075,0.06030499478114,0.0776854875964442,0.0142247882640073,-0.164655956236168,-0.35112505884033,0.0827801054965039,0.00779696838758319,-0.0269841719993924,0.0050945786001636,-0.158364069529332,-0.367040336731774,0.0157680394517428
32.08,0.0603849002032317,0.0774641220834105,0.0141724606821674,-0.164496178716458,-0.350742771743944,0.0826391002271666,0.00745721676383606,-0.0275665207326761,0.0050420699170481,-0.158616986998428,-0.367137345422686,0.0158192182585495
32.085,0.0606422546535797,0.0772860882681038,0.0141218458633434,-0.164270053664252,-0.350356215667616,0.0825207354900809,0.00708968988106072,-0.0280593326965229,0.0049938157349659,-0.158940241284209,-0.367299533221112,0.0159012424276716
