time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
32,0.061050654922947,0.0785509038311648,0.0143827424182704,-0.166503738352406,-0.356511074725706,0.0833672825215529,0.00618354694111656,-0.0231420541593454,0.00536186114657175,-0.160010667377942,-0.367803953628881,0.0155060960111004
32.005,0.0609309399607335,0.0785628049922609,0.0143885956181298,-0.166498300468708,-0.356195428698206,0.083329337760658,0.0062757442797914,-0.022984259126063,0.0053685038482145,-0.159900196400794,-0.367666974991145,0.01553563046827
32.01,0.0608379504132367,0.0785716139314807,0.0143925551460935,-0.166464199269867,-0.355865020564577,0.083288226918787,0.00639464736347475,-0.0228808453053187,0.00537202035331998,-0.15977265483822,-0.36754379264506,0.0155661816147968
32.015,0.0607472791641212,0.0785736619710878,0.0143941534993258,-0.166401980949403,-0.355521029555158,0.0832444576732031,0.00648699193040455,-0.0228329199759168,0.00537226858584032,-0.159607703007861,-0.367434795647185,0.0155974268130396
32.02,0.0606841812290963,0.0785661359321145,0.0143929950121919,-0.166313014156538,-0.35516484220123,0.0831985882886492,0.00659894214818618,-0.0228410117865806,0.00536910523178123,-0.15943606825159,-0.367340402453865,0.0156290763950051
32.025,0.0606471963180035,0.0785471626042609,0.0143887689838236,-0.166199418929527,-0.35479802137033,0.083151211268996,0.0067234236408906,-0.0229049988569116,0.00536239829607618,-0.159262981524421,-0.367261066988195,0.0156608794090997
32.03,0.060660332559564,0.0785158529798913,0.0143812603202948,-0.166063978344251,-0.354422275279084,0.083102936780466,0.00687861858334942,-0.0230240541501686,0.00535203976177858,-0.159120150029685,-0.367197281626194,0.0156926275421472
32.035,0.0607250560916332,0.0784723069969534,0.0143703574047271,-0.165910036416314,-0.354039427587439,0.0830543763961287,0.00706015420185186,-0.0231966115781314,0.00533795772549249,-0.159017516596923,-0.367149576202395,0.0157241570993777
32.04,0.0608083695063587,0.0784175808836227,0.0143560569845368,-0.165741385992406,-0.353651389471228,0.0830061276269056,0.0072293847829815,-0.0234203554024382,0.00532012740971963,-0.158931095017644,-0.367118512341932,0.0157553490407582
32.045,0.060906913651892,0.0783536203399113,0.0143384659409619,-0.16556215042167,-0.353260134322115,0.0829587596078104,0.00737769414536848,-0.0236922344157742,0.00529858050990868,-0.1588668221648,-0.367104672704803,0.0157861271839475
32.05,0.0609691869509751,0.0782831637169341,0.0143177998829421,-0.165400393083297,-0.352867675453433,0.0829128002106735,0.0074726356886183,-0.024008501201296,0.00527341241655713,-0.158782527316183,-0.367108645058654,0.0158164547843886
32.055,0.0610313185499981,0.0782096200648042,0.0142943785864431,-0.165240669569136,-0.352476046916651,0.0828687247675547,0.00752655062340826,-0.0243647755665242,0.00524478695460786,-0.158723461009418,-0.367131001453786,0.0158463297849823
32.06,0.0610970128230464,0.0781369274257979,0.0142686183819288,-0.165083514836299,-0.352087287275208,0.0828269465218744,0.00753626468621537,-0.0247561301124211,0.00521293839684931,-0.158702006540259,-0.36717227312888,0.0158757790862039
32.065,0.0611675899052425,0.0780693970649409,0.0142410216763898,-0.164922142035896,-0.351703425957058,0.082787808882371,0.00749561182236362,-0.0251771949029347,0.00517817062827818,-0.158733059139473,-0.367232922098967,0.0159048522188207
32.07,0.0612554765007055,0.0780115494695732,0.0142121638803914,-0.164727159392543,-0.351326471627744,0.0827515795383454,0.00739952582316722,-0.0256222774024939,0.00514085345808748,-0.158853018464439,-0.367313310642128,0.0159336148038336
32.075,0.0613344576017736,0.0779679479237852,0.0141826780920693,-0.164546738785849,-0.350958401900861,0.0827184464977755,0.00724417207050669,-0.0260854932872088,0.00510141618960803,-0.159019441447811,-0.367413670088225,0.015962142158445
32.08,0.061400576333093,0.0779430352802951,0.0141532379651209,-0.164384181574604,-0.350601153636213,0.0826885161230199,0.00702704217540656,-0.0265609034277536,0.00506033866176085,-0.1592333386709,-0.367534070409783,0.0159905133558309
32.085,0.0614663888795459,0.0779409792167701,0.0141245392524783,-0.164274812451298,-0.350256613066988,0.0826618132501903,0.00673073731602382,-0.0270426522859027,0.00501814006518583,-0.159478458755575,-0.367674392119359,0.0160188059759198
32.09,0.0615239875199475,0.0779655307821713,0.0140972805675616,-0.16421194478583,-0.349926605041357,0.0826382834767484,0.00636004778958754,-0.0275251031421369,0.0049753659102304,-0.159758210702001,-0.367834301895312,0.0160470917020633
32.095,0.0615586268917064,0.0780199004223381,0.0140721439375149,-0.164173889152382,-0.349612880754169,0.082617797679434,0.00592839065532196,-0.028002965943352,0.00493257358154585,-0.160082191292155,-0.368013233202014,0.016075432833623
32.1,0.0615678093563333,0.0781066549408055,0.0140497757353142,-0.164161857991413,-0.349317103473231,0.08260015877783,0.00543874994394459,-0.0284714140814731,0.00489031695519154,-0.160447320595214,-0.368210372958979,0.0161038797063833
32.105,0.0615222172151318,0.0782276380270917,0.0140307685689345,-0.164149106710925,-0.34904083192489,0.0825851106891381,0.00492273253498722,-0.028926187033731,0.00484913057959014,-0.160822322796866,-0.368424655065753,0.0161324689494548
32.11,0.0614472515227205,0.0783839161037538,0.0140156446758569,-0.164162412282228,-0.348785501189127,0.082572349332511,0.00435898122501418,-0.0293636764606615,0.00480951393250051,-0.161229101699237,-0.368654761324613,0.0161612224645652
