time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
47.03,-0.0811800906259191,0.0319479356987008,-0.00747959163460697,-0.0422015118623336,-0.228075210479503,0.0547234348709594,-0.245225142568312,0.046183269609869,0.00335080165445212,-0.119388910737094,-0.324379831972892,0.0128118990082216
47.035,-0.0712506921956126,0.034939305180392,-0.00807365480825219,-0.041007765383101,-0.224691667816439,0.0550804238638275,-0.233272113036282,0.0419261882186119,0.00277294999281226,-0.115647081882558,-0.322507801168807,0.0131565111262107
47.04,-0.0615028927580482,0.0380651201522733,-0.00861810721041695,-0.0397567170450812,-0.221330328205017,0.0554162471996315,-0.220827362016828,0.0374552791519236,0.00220223651813885,-0.111847147839039,-0.320386021971189,0.0134779492499236
47.045,-0.0519131339395562,0.0412451413680516,-0.00910887540721336,-0.0384635924868062,-0.217992668714267,0.0557244706729771,-0.207910145402248,0.0327992483015266,0.00164506348935701,-0.108041278061303,-0.31801476549347,0.0137726670169505
47.05,-0.0424684693123786,0.0443930666646159,-0.00954094573069095,-0.0371468151489184,-0.214680088930953,0.0559989556665588,-0.194560175536498,0.0279914905887922,0.00110843118422433,-0.104289355929348,-0.315394486861127,0.0140367478879428
47.055,-0.0331667281371724,0.047419846253179,-0.00990857130159624,-0.0358282778543387,-0.211393830478083,0.0562340478434214,-0.180838246257256,0.0230695679548134,0.000599851695310475,-0.100658543799137,-0.312525985134855,0.0142660029366639
47.06,-0.0240163502206889,0.0502372561504481,-0.0102054998412022,-0.0345335056831359,-0.208134954424557,0.0564247628604163,-0.166826192070678,0.0180746876533771,0.000127233911301034,-0.0972225435830437,-0.309410695532252,0.0144560858121669
47.065,-0.0150358937322627,0.0527615909572908,-0.0104252139445808,-0.0332916910492216,-0.204904378579067,0.0565669628509704,-0.152626121284482,0.0130511782848982,-0.000301259296440976,-0.0940605382657311,-0.306051105412477,0.0146026229001194
47.07,-0.00625322839642386,0.0549173282377501,-0.0105611756569763,-0.0321355850190494,-0.20170297359798,0.0566575174624824,-0.138358885164823,0.00804595428205445,-0.000677379403356581,-0.091255808712438,-0.302451278403364,0.0147013559247574
47.075,0.00229556359407439,0.0566406131625394,-0.0106070676564443,-0.0311012327039495,-0.198531713806656,0.0566944434705997,-0.124161771802211,0.00310795412003595,-0.000992982596734592,-0.0888940309941572,-0.298617464309632,0.0147482935002902
47.08,0.010567547738067,0.0578824141527723,-0.0105570240546244,-0.0302275448815316,-0.195391875747565,0.0566770174255799,-0.110185443572365,-0.00171246605447676,-0.0012402376010939,-0.0870612720214613,-0.294558766343895,0.0147398675005548
47.085,0.0185145197802059,0.0586112081043261,-0.0104058447311981,-0.0295557027338373,-0.192285274831108,0.0566058564053247,-0.0965901697583834,-0.00636420295994996,-0.0014118454448972,-0.0858417151753436,-0.290287832070177,0.0146730896034484
47.09,0.0260847660891636,0.0588150673262773,-0.0101491881605435,-0.0291283976322358,-0.189214528170523,0.0564829627413053,-0.0835414397025385,-0.0107961591556202,-0.00150126489296396,-0.0853151623372531,-0.285821530535345,0.0145457030128926
47.095,0.0332249530052837,0.0585030393496129,-0.00978373881547166,-0.0289889131921124,-0.186183329815387,0.0563117295301309,-0.0712050752158387,-0.0149580927126984,-0.00150293672690696,-0.0855543736142612,-0.281181575658843,0.0143563241924235
47.1,0.0398820935026904,0.0577057348392552,-0.00930734638925884,-0.0291800623423905,-0.183196723234898,0.0560969048255876,-0.0597419921804443,-0.0188015711921107,-0.00141249974655356,-0.0866223203856548,-0.27639505528761,0.0141045694829076
47.105,0.0460055379565755,0.0564750673700707,-0.00871913521406478,-0.0297429979035882,-0.180261355110415,0.0558445136028132,-0.0493027885398491,-0.0222810285547294,-0.00122699129733161,-0.0885694402367768,-0.271494826572391,0.0137911617375876
47.11,0.0515489352111308,0.0548831209998821,-0.00801958332687064,-0.0307159211301495,-0.177385694336763,0.0555617378754446,-0.0400223573862593,-0.0253549128195163,-0.0009450253017355,-0.0914309930122713,-0.266519741571549,0.0134180125959385
47.115,0.0564721102443391,0.0530201563676137,-0.00721057160439525,-0.0321327187876153,-0.174580200652276,0.0552567567029222,-0.0320147379206297,-0.0279869003821727,-0.000566941178898985,-0.09522462471773,-0.261514672223652,0.0129882767252278
47.12,0.060742805351762,0.05099180222294,-0.00629540422317324,-0.0340215654620712,-0.171857428550204,0.0549385492191542,-0.0253684221895654,-0.0301471408343971,-9.49176598904038e-05,-0.0999482494707512,-0.25653031091908,0.012506375260187
47.125,0.0643382328911981,0.0489155154159519,-0.00527880237384433,-0.0364035336962325,-0.169232054076006,0.0546166652098395,-0.020142330549969,-0.0318134849347069,0.000466953672705243,-0.105578358402165,-0.251622731593509,0.0119779867242446
47.13,0.0672463893689197,0.0469164268459821,-0.00416687365105465,-0.03929125986668,-0.166720814760845,0.054300969120941,-0.0163626531002267,-0.0329726391731124,0.00111263929806648,-0.112068857768871,-0.246852706200769,0.0114100048622421
47.135,0.0694670832731959,0.0451227220054355,-0.00296705984226707,-0.0426877180238965,-0.164342356217698,0.0540013646443982,-0.0140207277393884,-0.0336211841795745,0.00183418215936704,-0.119350526245733,-0.242284782144475,0.0108104639855928
47.14,0.0710126329392291,0.0436607308779982,-0.00168806595003477,-0.0465851567175025,-0.162116982728395,0.0537275081416353,-0.0130720886036437,-0.0337663919126147,0.00262176933173868,-0.127331163410861,-0.237986137235138,0.010188433553997
47.145,0.0719081962692281,0.0426499214880285,-0.000339773213124452,-0.050964254617358,-0.160066313334163,0.0534885200686016,-0.0134367725752617,-0.0334267787152024,0.00346384938572772,-0.135896478175918,-0.234025239433489,0.00955388472500746
47.15,0.0721917017120338,0.0421980029894539,0.00106686133710162,-0.0557935490494872,-0.158212849331613,0.0532927041945923,-0.0150009182028545,-0.0326323381679016,0.00434729847436861,-0.144911738066533,-0.230470348479581,0.00891753243784931
47.155,0.0719133598117003,0.042396346783299,0.00251991660717463,-0.0610291870179996,-0.156579463468765,0.0531472847007623,-0.0176196331481709,-0.0314244090280817,0.00525763275197113,-0.154224168927743,-0.227387904957054,0.00829065722255427
47.16,0.0711347469871971,0.0433159271232554,0.00400662873076186,-0.0666150406458083,-0.155188825315257,0.0530581711511299,-0.0211210461280728,-0.0298551488344211,0.00617926333391952,-0.163666061264732,-0.224840858928467,0.00768491132222775
