time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
32,5.23661097718863,-1.01390059462452,-0.900514697597105,-1.05534946774707,0.745421999108957,0.752308819679961,4.49854999386044,0.549045124303514,1.2332533985742,-2.08717241222445,-0.123468574560828,-0.0435618456048609,-0.160269840133871,9.64202186265713,-1.81088306382009,-0.51338532520445,1.75114469673159,-0.288906975256398,-0.296875577077922,9.63766461037747,-1.85166560176026,-0.545552022004418,1.74139208346685,0.453528784773457,-1.07015797936823,9.74570938098156,0.432398673524619,-2.6438120762483,0.0832704121467853,0.00843923833505543,-0.442599011915663,9.66697138637923,1.89649266857388,-0.420102377395637,0.738813508253418,-0.234936668689687,-0.721397686750947,9.64630399592846,1.82412440421313,-0.446731168208579,0.723023349930371,-0.35937750292358,-1.00133434174512,9.77682800018976,-0.0531638550882109,-1.12757092903087,0.20097664367226,0.242335853768544,426.777699486518,0.129584420474683,-0.0231638460020802,421.668004323077,0.136751499204775,0.00269725074239924
32.005,5.23140496790917,-1.04120185589203,-0.932998414174355,-1.05165223647208,0.739446254997644,0.758269094073436,4.50055048177117,0.400097582145493,1.07407352073736,-2.08779947834829,-0.125413224767914,-0.0652498357803673,-0.157323302376628,9.64267670428832,-1.81098455878236,-0.489222491585115,1.59515018454847,-0.262434171520967,-0.294501323720453,9.63832846846893,-1.8507110714851,-0.518417867712023,1.58590251169765,0.473643604573089,-1.07325875836534,9.747446530868,0.428137138995281,-2.52226959254198,0.00421307698188785,-0.0356260375431562,-0.44389501781365,9.66648524324327,1.89639085518685,-0.376255048865278,0.685145381415531,-0.189949138915486,-0.72381363455135,9.64600571943583,1.82607742570872,-0.400965644911736,0.67098339475444,-0.31364524643627,-1.0004376443286,9.7761441958246,-0.0447632238366378,-1.08222782179345,0.146561213464079,0.210100015241622,426.727951669448,0.12949737033779,-0.0231877979317998,421.722380252642,0.136725021518626,0.00269211125608004
32.01,5.22605616923043,-1.06975973574963,-0.962549489994807,-1.04798870759401,0.732705775613552,0.760564262932431,4.50180942581427,0.251788808620342,0.917853269257962,-2.08840937443062,-0.121979216465218,-0.0838845734101837,-0.155482114866819,9.64312346885539,-1.81090643664158,-0.465775030794349,1.42560728600964,-0.236414801154621,-0.292766655116204,9.63879057042561,-1.84968250710491,-0.491772064897033,1.41684995843433,0.492723495813634,-1.07604700522276,9.74898837733138,0.423523731605522,-2.36010314378171,-0.056572803978095,-0.0775909750775291,-0.445383770496185,9.66551696519929,1.89675737069082,-0.333467948458696,0.633093948002831,-0.146801994785602,-0.726353940508831,9.64521945453441,1.8278193876215,-0.356317246933696,0.620521515174967,-0.264391490378141,-0.999645791462078,9.77501964168844,-0.0370817260669951,-1.05285006266506,0.081335305014256,0.172852541620208,426.617432979163,0.129417127010883,-0.0232082742939133,421.760138095701,0.136716015267686,0.00267765577625489
32.015,5.22055793457282,-1.09964693151966,-0.990141385291821,-1.04436087212832,0.725567093138075,0.759790307012432,4.50233029884054,0.104174605254972,0.76416785579308,-2.08897537480111,-0.113200074097128,-0.0987889173389901,-0.154710024932195,9.64335597373787,-1.81059543918884,-0.442948012882501,1.24391258844166,-0.210618011133508,-0.291613238371876,9.63903894705378,-1.84858809734798,-0.465547501255135,1.23563263099524,0.511305361272101,-1.07846795953138,9.75029248978111,0.418780503823936,-2.15814193999586,-0.098410044355693,-0.117325867213512,-0.447021521316587,9.66409859537347,1.89760214964616,-0.291308767913091,0.582850273836977,-0.105423216973704,-0.728931223769274,9.64397024587465,1.82935192798393,-0.312360747437793,0.57184447739371,-0.211673474138743,-0.998963065008294,9.77348042689852,-0.0303056346484946,-1.03886260475004,0.00572783468864455,0.131094947682788,426.469107615069,0.129344030635404,-0.0232208765925481,421.783370543563,0.136722852941324,0.00265925473037543
32.02,5.21490468551343,-1.13064981187896,-1.01665685614475,-1.04076949326929,0.718275771806397,0.75654159443072,4.50211787261636,-0.0424852448362994,0.61260110323417,-2.08947187875342,-0.0993007904624246,-0.109402709690179,-0.154942892072933,9.64337331212801,-1.81000689020124,-0.420607057829376,1.05182646275644,-0.18477454471508,-0.290968207008248,9.6390666651739,-1.84744055878444,-0.439643780558907,1.04401317073206,0.529838553338696,-1.08047515394417,9.7513239998929,0.414131487524297,-1.91865406352514,-0.121407391031433,-0.154714488271647,-0.448752561389233,9.66227195258444,1.89891533395157,-0.249349972368235,0.534387626814032,-0.0656748584223767,-0.731454062688046,9.64229339184252,1.83068125087822,-0.26866785120823,0.524941153617853,-0.155671894574079,-0.998389482698259,9.77156379697712,-0.0245995646774051,-1.03886558399481,-0.0793956245988137,0.0854203502873015,426.301300391478,0.129279705325663,-0.0232280749985945,421.789821003723,0.136741729706642,0.00264184676613377
32.025,5.2090933242255,-1.1622722575872,-1.04283248592302,-1.03721476108529,0.710946436799745,0.751383238159683,4.50117925839397,-0.187722844477449,0.462796742520144,-2.08987534706055,-0.0806936614269406,-0.115303810212029,-0.156090533207449,9.64317964578245,-1.80910600228382,-0.398581613974504,0.851455210052194,-0.158584015861477,-0.290747229787856,9.63887193915845,-1.84625642135897,-0.413930100256568,0.844100725856141,0.548670929987643,-1.08203167614036,9.75205657257352,0.409793236140123,-1.64530891600392,-0.126446107261835,-0.189648400619139,-0.45051017472425,9.66008736428151,1.90066734559102,-0.207183809465374,0.487445461507156,-0.0273601389730705,-0.733830133073791,9.64023347214247,1.83181679982531,-0.224821594800085,0.479565968784404,-0.0966899718648567,-0.997921094836712,9.76931737289627,-0.0201009320655643,-1.05064766448724,-0.172749237595555,0.0365126950272523,426.119615409491,0.129225155077077,-0.0232345057414705,421.77336430009,0.136768082643409,0.00262750242740184
32.03,5.20312456258695,-1.19375232770792,-1.06921241734891,-1.03369696405038,0.703559406981831,0.744825331469583,4.49952491571612,-0.330868535570703,0.314503007243158,-2.09016517902571,-0.057966393031054,-0.116225390761869,-0.158039208864402,9.64278386478755,-1.80786905122267,-0.376669578203914,0.645218760825862,-0.131724319040391,-0.290857856418298,9.63845811783802,-1.84505521869279,-0.388249209560742,0.638318558137846,0.568039502345917,-1.08311120650942,9.75247310420745,0.405965759169124,-1.34308235756561,-0.115135006021168,-0.222022265091331,-0.452217954814081,9.65760219415948,1.90280945161951,-0.164436122281388,0.441526197796109,0.00976655472060256,-0.735969302594515,9.63784314566941,1.83276983530177,-0.180430018119982,0.435235176603704,-0.0351478786038477,-0.997550459589105,9.76679800791703,-0.0169150356310962,-1.071237699446,-0.27266137911027,-0.0148564720470651,425.914516034684,0.129182345356264,-0.0232446391190471,421.724060132296,0.136797855548237,0.00262026558478379
32.035,5.19700410846948,-1.22409082349635,-1.09611302247642,-1.03021714316345,0.695964177387387,0.737300191987895,4.49716957968013,-0.471067207197324,0.167608847631956,-2.09032449328655,-0.0318628521694576,-0.112068493955449,-0.160654767118129,9.64219911496511,-1.8062844017935,-0.354643219998533,0.435803910513243,-0.103862908721758,-0.291203005325083,9.63783352634849,-1.84385862469216,-0.362422412682302,0.429357168520917,0.588065982437204,-1.08369875483741,9.75256619538068,0.402824250143049,-1.01810731298094,-0.0897362074635033,-0.2517302517691,-0.453791548055089,9.65487919605479,1.90527484882029,-0.120778607923309,0.395905410588979,0.0459872012724756,-0.737786562833288,9.63518173133629,1.83355199549491,-0.135138776339224,0.391236595693004,0.0284273136362876,-0.997267265586153,9.76407034643413,-0.0151109875709301,-1.09699365329899,-0.377126054287713,-0.0678340343892318,425.663748150728,0.129154386935123,-0.0232637699957681,421.630779601071,0.136830792314528,0.00261908285833856
32.04,5.19074365648211,-1.25209039747219,-1.12359969337579,-1.02677769520754,0.687889591181449,0.729143639944395,4.49413306131115,-0.607303673796489,0.022170568100667,-2.0903407796508,-0.00325727284957555,-0.102909015544891,-0.163786434389609,9.6414421984892,-1.80435335357481,-0.332256326439009,0.22610377954994,-0.0746695027744399,-0.291684451978966,9.63701114722359,-1.84268957619293,-0.336255551676495,0.220113631761531,0.608757309406272,-1.08379104019515,9.75233844966243,0.400511938380856,-0.677474859470814,-0.0530650955236323,-0.278663167423119,-0.455140860655564,9.65198473106881,1.90798028389357,-0.0759392055259441,0.349655291237547,0.0816058354381138,-0.739204699381915,9.63231359262867,1.83417391064847,-0.0886423738113401,0.346652679333057,0.0934157939893507,-0.997059056652656,9.76120516292206,-0.0147186924545392,-1.1237260462723,-0.483869488328457,-0.121494091078514,425.340319706418,0.129142656409536,-0.023293503343897,421.48260115906,0.13686299089987,0.00262081378640877
32.045,5.18436163897246,-1.27640350193096,-1.15147637844611,-1.02338289457591,0.678960126325875,0.720581173336376,4.49044088168293,-0.738435925643599,-0.121571831611489,-2.09020639521212,0.0268768877360022,-0.0889985014114777,-0.167271209204725,9.6405328637265,-1.80209076108071,-0.309252432913542,0.0191448815412433,-0.0438296056502711,-0.292206182866178,9.63600813858248,-1.84157141584746,-0.309545865617181,0.0136185263790338,0.630011000880747,-1.08339648679405,9.75180263002333,0.399134317820647,-0.328992763118526,-0.00836890405076356,-0.3027055542042,-0.456172731801514,9.64898689302851,1.91082821368035,-0.0297103397441796,0.301680481141413,0.116933167912184,-0.7401566202008,9.62930635995739,1.8346439328605,-0.0406937140360987,0.300396031233908,0.159122711452878,-0.996912001308318,9.7582775559962,-0.0157270394291048,-1.14685165266042,-0.590429586134644,-0.174849093186152,424.922892561607,0.129150703534494,-0.0233309992650579,421.272690316522,0.136896370701567,0.00262496262884593
