time,insole_l_force_x,insole_l_force_y,insole_l_force_z,insole_l_cop_x,insole_l_cop_z,insole_r_force_x,insole_r_force_y,insole_r_force_z,insole_r_cop_x,insole_r_cop_z
32,-62.9232993200252,426.777699486518,87.9875925600489,0.129584420474683,-0.0231638460020802,-53.0148231866708,421.668004323077,-66.7627378362601,0.136751499204775,0.00269725074239924
32.005,-62.8636518309477,426.727951669448,88.0831879725751,0.12949737033779,-0.0231877979317998,-53.0109407392998,421.722380252642,-66.6597555227516,0.136725021518626,0.00269211125608004
32.01,-62.7929526829051,426.617432979163,88.1691478304215,0.129417127010883,-0.0232082742939133,-53.01634613072,421.760138095701,-66.5522541776062,0.136716015267686,0.00267765577625489
32.015,-62.7271985745313,426.469107615069,88.2438883595281,0.129344030635404,-0.0232208765925481,-53.0325069834217,421.783370543563,-66.4491337635784,0.136722852941324,0.00265925473037543
32.02,-62.6812067921562,426.301300391478,88.3041756627926,0.129279705325663,-0.0232280749985945,-53.0611754196288,421.789821003723,-66.3585482875567,0.136741729706642,0.00264184676613377
32.025,-62.6631071148237,426.119615409491,88.3453816539076,0.129225155077077,-0.0232345057414705,-53.1027231491191,421.77336430009,-66.2856810001152,0.136768082643409,0.00262750242740184
32.03,-62.671271837319,425.914516034684,88.3620586325135,0.129182345356264,-0.0232446391190471,-53.1546608413936,421.724060132296,-66.2313762493173,0.136797855548237,0.00262026558478379
32.035,-62.6947397824524,425.663748150728,88.3488120083296,0.129154386935123,-0.0232637699957681,-53.2114374995588,421.630779601071,-66.1923906781809,0.136830792314528,0.00261908285833856
32.04,-62.7170840559235,425.340319706418,88.3014190662823,0.129142656409536,-0.023293503343897,-53.2653880712898,421.48260115906,-66.1630150722577,0.13686299089987,0.00262081378640877
32.045,-62.7221364377752,424.922892561607,88.2180619249937,0.129150703534494,-0.0233309992650579,-53.3089303864397,421.272690316522,-66.1373545537147,0.136896370701567,0.00262496262884593
32.05,-62.6993357834915,424.404320669164,88.1001869387764,0.129178573650774,-0.0233711006946731,-53.336909689603,421.001465142833,-66.1112169343327,0.136930165332666,0.00262869482027828
32.055,-62.6470372139805,423.796720365868,87.9526182685305,0.129223968503537,-0.0234071258519952,-53.3482145164629,420.679039075425,-66.0831342136706,0.136966997060643,0.00263039561008238
32.06,-62.5724996942959,423.128589492201,87.7827348417782,0.129280899737244,-0.0234290976351863,-53.345896280705,420.32551248014,-66.0542685661108,0.137009281635889,0.00263165365733542
32.065,-62.488869832058,422.437361988105,87.5987614059808,0.129343068690915,-0.0234363000467721,-53.3358059379738,419.968907835886,-66.0275672020724,0.137058215506551,0.00263338881264419
32.07,-62.4102133227451,421.758764077713,87.4078261936437,0.129402812286301,-0.0234262966552325,-53.3242742937393,419.639585195322,-66.0067901129364,0.137112105097719,0.0026373236181696
32.075,-62.3465764854264,421.11785991201,87.2144744312832,0.129454723195991,-0.0234033702434417,-53.3159447999301,419.364541904946,-65.995595540253,0.137169760569575,0.00264714439608582
32.08,-62.3010447558801,420.525764743533,87.0204498842103,0.129495284028091,-0.023376554113447,-53.3124820450581,419.162828408472,-65.9968752499442,0.137228975595863,0.00266269140928621
32.085,-62.2695671521231,419.981146944243,86.82551065403,0.129527068354144,-0.0233496539117821,-53.312510463305,419.043451440985,-66.0122794607923,0.13728369380783,0.0026848389047216
32.09,-62.2434570582922,419.476335161076,86.6291067402951,0.129552408568814,-0.0233306066897101,-53.3126620114641,419.006178929256,-66.0419229957277,0.137334082936953,0.00271074124649706
32.095,-62.2132160176279,419.003890497525,86.4319731637272,0.129578202586874,-0.0233193483872056,-53.3092569112784,419.043987207094,-66.0844802002368,0.137378129936417,0.00273708758543867
32.1,-62.1722444102136,418.562110521873,86.2371270372441,0.129607257352402,-0.0233155912073872,-53.2999184865439,419.145814312806,-66.1377377407585,0.137416250485451,0.00276196937148088
32.105,-62.119042831737,418.157029311176,86.0495628525019,0.129640482328869,-0.0233143177219732,-53.2845745365573,419.299372732573,-66.1998057897468,0.13744834978244,0.002781514397459
32.11,-62.0574096027066,417.801756533728,85.8749847544066,0.129673724003295,-0.0233104542432176,-53.265409854496,419.492560283723,-66.270541467636,0.137473169103654,0.00279522357303552
32.115,-61.994647534789,417.512424388971,85.7181248148045,0.129700092895699,-0.023300441304769,-53.2461266964442,419.715444978068,-66.3526817630666,0.137490212283591,0.00280545197214233
32.12,-61.9388171169621,417.304410327044,85.5816815450925,0.129709174735442,-0.0232833960762822,-53.2308114357785,419.962093307589,-66.4518320576578,0.137494884260791,0.00281456120458046
32.125,-61.8958754740852,417.187727410066,85.4661193849056,0.12969289427984,-0.023259963153984,-53.2226817144252,420.231411509499,-66.5749343586643,0.137484064673527,0.00282653617267759
32.13,-61.8679403708969,417.164361741096,85.3704666103615,0.129648026022019,-0.0232348727013179,-53.2232105288881,420.527851798003,-66.7277441508833,0.137456817675346,0.0028457600834999
32.135,-61.8531039226627,417.226938401944,85.2933780072794,0.129575825965516,-0.0232149788518532,-53.2318474606963,420.859643934477,-66.9124956852309,0.137412668780763,0.00287437125202361
32.14,-61.846820519301,417.359643527639,85.2338931233822,0.129483853384097,-0.0232028067484178,-53.2465846520881,421.236030422837,-67.1266563844855,0.137355961409106,0.00291317305087269
32.145,-61.8440816236241,417.540795220611,85.1916110470739,0.129382619284906,-0.0232002620052487,-53.2650217120984,421.663034049817,-67.3634012031196,0.137290540383824,0.00296098728058958
