time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
32,0.00109489173202702,0.00196175952312263,0.000463108037163876,-0.00215754212064778,0.00396615609866377,0.00358079127025693,-5.12172844930709e-05,0.000493962669239765,-0.000270932144172628,0.000347527716240744,-0.00457474553715437,-0.000191921369475733
32.005,0.00112244632233655,0.00180101270211018,0.00044383891574203,-0.00213899534321158,0.00421147518952487,0.00340359878819456,-3.57013406806787e-05,0.000443807202183302,-0.000253578679789191,0.000345209544903895,-0.00394775968266709,-0.00019824846162337
32.01,0.00115176245415464,0.00164524246413825,0.000427880451850305,-0.00211839534671233,0.00445657877166317,0.00315132457270434,-1.98641202316588e-05,0.000396618736810971,-0.000235906566824941,0.000327905649730344,-0.00325131632582816,-0.000210449571789497
32.015,0.00118232494645812,0.00149406153801264,0.00041497075219406,-0.00209664930775341,0.00470511317777666,0.00282555090514346,-3.4922151913184e-06,0.000351889792184723,-0.00021795296837044,0.000295979696653002,-0.00248924343314011,-0.000228456808498906
32.02,0.00121426132596648,0.00134693043912274,0.000404732390671334,-0.00207430857414619,0.00495930820194857,0.00243063392455941,1.3256908941071e-05,0.000309090020752406,-0.000199767401535348,0.000250433871047954,-0.00166738291626164,-0.00025189830009222
32.025,0.00124691806943398,0.00120317185787015,0.000396678743536349,-0.00205154769955676,0.00521987709459202,0.00197361999564086,3.04272808067818e-05,0.00026767546301521,-0.000181414558738024,0.000192714139496595,-0.000793572003546795,-0.000280094194616914
32.03,0.00127991250730279,0.00106199038442661,0.000390225315385649,-0.00202816382098348,0.00548598940128466,0.00146405133914,4.81380142633025e-05,0.000227097601197677,-0.000162975878012074,0.000124735565994857,0.000122447725419742,-0.000312067210897447
32.035,0.0013121930167826,0.000922497343810012,0.000384705946893576,-0.0020035963476654,0.00575531539017784,0.000913667724668723,6.64400133073106e-05,0.000186812467950998,-0.00014454971512101,4.87358328183817e-05,0.00106919358930061,-0.000346567809992621
32.04,0.00134175320273357,0.000783740046386356,0.000379393492993548,-0.00197696556839258,0.0060241350819631,0.000336015403430788,8.49004016066604e-05,0.000146290055438102,-0.000126250074030658,-3.27588811051989e-05,0.00203367232783358,-0.000382113315573536
32.045,0.00136704673986505,0.000644734352668653,0.000373524274080401,-0.00194712755537709,0.00628750033060838,-0.000254021912369883,0.00010311961059335,0.000105024204240565,-0.000108203963323542,-0.000116980692998499,0.00300166855028137,-0.000417039620779301
