time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
32,-5.23661097718863,-10.0970332559608,-25.7648092299694,-1.05534946774707,-1.8578277440648,15.9642586789863,-4.49854999386044,-8.96207387273442,-16.7890630759023,-2.08717241222445,0.22399680825291,12.7952278951428
32.005,-5.23140496790917,-10.09017699569,-25.755795959714,-1.05165223647208,-1.86111521583486,15.9763263462018,-4.50055048177117,-8.96789252778546,-16.8030686241226,-2.08779947834829,0.227330353322922,12.7916538809056
32.01,-5.22605616923043,-10.0838984873269,-25.7471354434995,-1.04798870759401,-1.86460210820433,15.9876612225514,-4.50180942581427,-8.97313721807139,-16.8161264599236,-2.08840937443062,0.230148842124163,12.7879164441082
32.015,-5.22055793457282,-10.0781796031516,-25.7387623310231,-1.04436087212832,-1.86829049690854,15.9980049921007,-4.50233029884054,-8.97782423240207,-16.8282294570113,-2.08897537480111,0.232398775292218,12.7839076830504
32.02,-5.21490468551343,-10.0730038162229,-25.730617575517,-1.04076949326929,-1.87218486997668,16.007109020782,-4.50211787261636,-8.98196736330345,-16.8393713610682,-2.08947187875342,0.23403043267,12.7795242836032
32.025,-5.2090933242255,-10.0683568686434,-25.72265070325,-1.03721476108529,-1.87629093488869,16.0147438657142,-4.50117925839397,-8.98557763397823,-16.8495474019913,-2.08987534706055,0.234999469452071,12.7746731581834
32.03,-5.20312456258695,-10.0642273477676,-25.714821910264,-1.03369696405038,-1.88061436814418,16.0207083531774,-4.49952491571612,-8.98866313936779,-16.8587550173802,-2.09016517902571,0.235268470965642,12.7692769566183
32.035,-5.19700410846948,-10.0606071512804,-25.7071038991919,-1.03021714316345,-1.88515956592774,16.0248378486675,-4.49716957968013,-8.99122899928571,-16.8669946377895,-2.09032449328655,0.234808407637929,12.7632791873134
32.04,-5.19074365648211,-10.0574918245703,-25.6994833724045,-1.02677769520754,-1.88992845171591,16.0270113689572,-4.49413306131115,-8.99327741931896,-16.8742704804695,-2.0903407796508,0.233599933559635,12.7566486976266
32.045,-5.18436163897246,-10.054880757226,-25.6919621050721,-1.02338289457591,-1.8949193894627,16.027157227371,-4.49044088168293,-8.99480785307222,-16.8805912978845,-2.09020639521212,0.231634477765691,12.7493832842639
